description,price,rating,review_count,url
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07702242ABH5ZD2YENGL&url=%2FHP-3-3250-Laptop-Windows-15s-gr0011AU%2Fdp%2FB08T6SJ215%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-1-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_atf
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01837343K0AJ0Z9YKN83&url=%2FHP-Laptop-15-6-inch-Windows-15s-fq2535TU%2Fdp%2FB08XNYN5QV%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-2-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_atf
"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU",,,,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15s-gy0003AU/dp/B08RFTYKFZ/ref=sr_1_3?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-3
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",,,,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_4?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-4
"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)",,,,https://www.amazon.in/HP-Notebook-245-G7-ATHLON-3050U/dp/B08TBVBKN5/ref=sr_1_5?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-5
"HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU)",,,,https://www.amazon.in/HP-Celeron-14-inch-Windows-14s-dq3017TU/dp/B0928TF49H/ref=sr_1_6?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-6
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",,,,https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_7?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-7
"HP 15 Ryzen 3 4300U Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB/Windows 10/MS Office/Natural Silver/1.69Kg), 15s-ey1003AU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Windows-15s-ey1003AU/dp/B092JKHHPZ/ref=sr_1_8?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-8
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",,,,https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_9?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-9
"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",,,,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_10?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-10
"HP 14 10th Gen Intel Core i5 Processor 14"" (35.56cms) FHD Laptop with Built-in 4G LTE (8GB/256GB SSD + 1TB HDD/Windows 10/MS Office 2019/Natural Silver/1.51kg) 14s-er0003TU",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0124594S4BM3N1QEW0J&url=%2FHP-Processor-14-inch-Windows-14s-er0003TU%2Fdp%2FB089P9JV71%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-11-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_mtf
"HP 15 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 1TB HDD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07700681DFM3G5HLBONK&url=%2FHP-Laptop-15-6-inch-Screen-Windows%2Fdp%2FB08XY3843B%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-12-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_mtf
"HP 15 Ryzen 5 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/Vega 8 Graphics/MS Office/Natural Silver/1.69Kg), 15s-eq0500AU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Graphics-15s-eq0500AU/dp/B0928T2WQG/ref=sr_1_13?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-13
"HP 14 11th Gen Intel Core i5 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-dq2535TU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Windows-14s-dq2535TU/dp/B0928NL6F3/ref=sr_1_14?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-14
"HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch)",,,,https://www.amazon.in/HP-Chromebook-14a-na0002TU-Integrated-Graphics/dp/B08C5WLK3P/ref=sr_1_15?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-15
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",,,,https://www.amazon.in/HP-db1060au-Laptop-Ryzen3-Microsoft-Natural/dp/B083SNGBLF/ref=sr_1_16?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-16
"HP 14 Laptop 14"" (35.56cms) (Ryzen 5 3500U/8GB/1TB HDD + 256GB SSD/Win 10/Microsoft Office 2019/Radeon Vega 8 Graphics), DK0093AU",,,,https://www.amazon.in/HP-14-DK0093AU-14-inch-Graphics/dp/B07THW9WFM/ref=sr_1_17?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-17
"HP 15 db1069AU 15.6"" (39.62cms) ) Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black",,,,https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/dp/B083RD58F6/ref=sr_1_18?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-18
"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics/Natural Silver), 12b-ca0010TU",,,,https://www.amazon.in/HP-Chromebook-12b-ca0010TU-Touchscreen-Integrated/dp/B08C5WSTR6/ref=sr_1_19?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-19
"HP 14 4th Gen Ryzen 5 5500U 14-inch(35.6 cm) FHD Laptop with Alexa Built-in(8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-fq1030AU",,,,https://www.amazon.in/HP-14-inch-Windows-Natural-14s-fq1030AU/dp/B0928TPR8H/ref=sr_1_20?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-20
"HP 14 Ultra Thin & Light 14"" (35.56cms) Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0602739TGSM32UMC9J0&url=%2FHP-14-inch-Laptop-i3-1005G1-14s-cf3074TU%2Fdp%2FB08G24RGKS%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-21-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_btf
(Renewed) Fujitsu A573 Lifebook with Numeric Keypad Laptop (Intel Core i5 3340m /4 GB/320 GB HDD/Windows 10 / NO Webcam / HDMI / 4 USB/15.6 Inch Screen),,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04877622ZVCP3YEG3QAV&url=%2FRenewed-Fujitsu-Lifebook-Numeric-Windows%2Fdp%2FB091B6K2ZM%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-22-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_btf
"HP 15s Thin and Light Laptop (Intel Celeron N4020/4GB/1TB HDD/Windows 10 Home), du1044tu",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01039941K8YBK21FW9FZ&url=%2FHP-Laptop-Celeron-Windows-du1044tu%2Fdp%2FB08D6M1Y6D%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-17-spons%26psc%3D1&qualifier=1620033778&id=2529710485837874&widgetName=sp_atf_next
"MSI Bravo 15 Ryzen 7 4800H 15.6"" (39.62cms) FHD Gaming Laptop (16GB/512GB SSD/144 Hz/Windows 10/ RX5500M,GDDR6 4GB/Black/1.86 kg), A4DDR-212IN",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05782712NHDFYHUFUI3Q&url=%2FMSI-Gaming-Windows-RX5500M-A4DDR-212IN%2Fdp%2FB08GYH6HKN%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-18-spons%26psc%3D1&qualifier=1620033778&id=2529710485837874&widgetName=sp_atf_next
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD + 256GB SSD, 15"" (38.1 cms) FHD Screen, Windows 10, MS Office (15s-gr0012AU)",,,,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_19?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-19
"HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14"" (35.56cms) HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg)",,,,https://www.amazon.in/HP-2D8C6PA-3-3300U-Windows-10-Graphics/dp/B08KJ92N9V/ref=sr_1_20?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-20
"HP 15 Thin & Light 15.6"" (39.62cms) FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 256GB SSD + 1TB HDD, Win 10 Home, MS Office, 2GB MX350 Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3047TX",,,,https://www.amazon.in/HP-39-62cms-i5-1135G7-Graphics-15s-du3047TX/dp/B08PPZG85B/ref=sr_1_21?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-21
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",,,,https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_22?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-22
"HP 14 10th Gen Intel Core i3 14"" (35.56cms) FHD Laptop (8 GB, 1 TB HDD + 256 GB SSD, Windows 10 Home, MS Office, Natural Silver, 1.51 kg), 14s-cf3028TU",,,,https://www.amazon.in/HP-35-56cms-Windows-Natural-14s-cf3028TU/dp/B08QSVVC7W/ref=sr_1_23?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-23
"HP Pavilion x360 Touchscreen 2-in-1 FHD 14-inch (35.56 cms) Laptop (10th Gen Core i3-10110U/8GB/512GB SSD/Win 10/MS Office/Mineral Silver/1.58 kg), 14-dh1178tu",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-i3-10110U-14-dh1178tu/dp/B08GD95H1N/ref=sr_1_24?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-24
"HP 15 10th Gen Intel Core i3 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB SSD+1TB HDD/Windows 10/MS Office/Jet Black/1.74Kg), 15s-du1064TU",,,,https://www.amazon.in/HP-15-6-inch-Laptop-i3-10110U-15s-du1064TU/dp/B08HJZLW96/ref=sr_1_25?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-25
"HP 15 11th Gen Intel Core i3 Processor 15.6-inch FHD Laptop with Alexa Built-in(8GB/512GB SSD/Win 10/MS Office/Jet Black/1.69 Kg), 15s-fq2072TU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Laptop-15s-fq2072TU/dp/B08WHML7F1/ref=sr_1_26?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-26
"Acer Swift 3 10 Gen Core i5 14-inch Ultra Thin and Light (8GB/512GB SSD/Windows 10/2GB Graphics/Steel Grey/1.19 kg), SF314-57G",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05692533864WGT9PSJ3G&url=%2FAcer-SF314-57G-i5-1035G1-processor-Thunderbolt%2Fdp%2FB07Z88C1ZR%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-27-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1620033778&id=2529710485837874&widgetName=sp_mtf
"Lenovo Legion Y540 Intel Core i5 9th Gen 15.6"" (39.62cms) FHD Gaming Laptop (8GB/1TB + 256 GB SSD/Windows 10/4GB GTX 1650 Graphics/Black/2.3Kg), 81SY00SNIN",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05068263ADN3HFUMCR18&url=%2FLenovo-Legion-Windows-Graphics-81SY00SNIN%2Fdp%2FB087D4X9JG%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033778%26sr%3D8-28-spons%26psc%3D1&qualifier=1620033778&id=2529710485837874&widgetName=sp_mtf
"HP 14 10th Gen Core i3 14"" (35.56cms) Laptop with 4G (LTE), 8GB RAM, 1TB HDD, 14"" (35.56cms) FHD Screen, Windows 10, MS Office(14s-er0004TU)",,,,https://www.amazon.in/HP-14-inch-i3-1005G1-Natural-14s-er0004TU/dp/B08HHB9Q2M/ref=sr_1_29?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-29
"HP 14 Ultra Thin & Light 14"" (35.56cms) Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU",,,,https://www.amazon.in/HP-14-inch-Laptop-i3-1005G1-14s-cf3074TU/dp/B08G24RGKS/ref=sr_1_30?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-30
"HP 245 G7 14"" (35.56cms) Laptop (AMD Ryzen 5-3500U/4GB/ 1TB HDD/DOS/Vega 8 Graphics/Jet Black/1.52Kg), 2D5Y6PA",,,,https://www.amazon.in/HP-14-inch-5-3500U-Graphics-2D5Y6PA/dp/B08L3JR736/ref=sr_1_32?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-32
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",,,,https://www.amazon.in/HP-Processor-39-62cms-Integrated-15s-fr2006TU/dp/B08XNYH4LX/ref=sr_1_33?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-33
"HP 15 11th Gen Intel Core i3 Thin & Light 15.6-inch (39.62 cms) FHD Laptop (4GB DDR4/1TB HDD/M.2 Slot/Windows 10 Home/MS Office/Jet Black/1.76 Kg), 15s-du3053TU",,,,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15s-du3053TU/dp/B08W2X72V2/ref=sr_1_34?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-34
"HP 15 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 1TB HDD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office",,,,https://www.amazon.in/HP-Laptop-15-6-inch-Screen-Windows/dp/B08XY3843B/ref=sr_1_35?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-35
"HP Chromebook 11.6-inch Thin & Light Touchscreen Laptop (MediaTek MT8183/4GB/64GB eMMC/Chrome OS/1.07 kgs/Indigo Blue), 11a-na0002MU",,,,https://www.amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_36?dchild=1&keywords=HP+Laptops&qid=1620033778&sr=8-36
"HP 14 Ryzen 3 4300U Processor 14-inch(35.6 cm) FHD Laptop (8GB/512GB/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-fr0016AU",,,,https://www.amazon.in/HP-Processor-14-inch-Windows-14s-fr0016AU/dp/B092JJ5LLR/ref=sr_1_33?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-33
"HP Pavilion Gaming 15.6-inch (39.62 cms) FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.25 kg), 15-ec0100AX",,,,https://www.amazon.in/HP-Pavilion-15-6-inch-5-3550H-15-ec0100AX/dp/B08CYZM4Y3/ref=sr_1_34?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-34
"HP Pavilion x360 (2021) 14"" (35.56cms) FHD Touchscreen Laptop, 11th Gen Core i3, 8 GB RAM, 512GB SSD, 2-in-1 Convertible, Windows 10, MS Office, Finger Print Reader (14-dw1037TU)",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-Convertible-14-dw1037TU/dp/B08SRC4JMD/ref=sr_1_35?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-35
"HP 14 Ultra Thin & Light 14-inch Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU and Bag Combo",,,,https://www.amazon.in/HP-14-inch-Laptop-i3-1005G1-14s-cf3074TU/dp/B08LBJPF9M/ref=sr_1_36?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-36
"HP Pavilion x360 (2021) 14"" (35.56cms) FHD Touchscreen Laptop, 11th Gen Core i5, 8 GB RAM, 512GB SSD, 2-in-1 Convertible, Windows 10, MS Office, Finger Print Reader (14-dw1038TU)",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-Convertible-14-dw1038TU/dp/B08R13XHKZ/ref=sr_1_37?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-37
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, Iris Xe Graphics, 8 GB RAM, 1TB SSD, 15"" (38.1 cms) FHD Screen, Windows 10, MS Office, Alexa Built-in (15s-fr2005tu)",,,,https://www.amazon.in/HP-Laptop-Graphics-Windows-15s-fr2005tu/dp/B08P8JCWM2/ref=sr_1_40?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-40
"HP 245 G7 AMD Ryzen 5 - 3500U 14 inch (35.56 cms) Laptop (8GB RAM/1TB HDD/Windows 10 /Radeon Vega 8 Graphics/NO ODD) 2D5X7PA (1.52kg,Dark ash Silver)",,,,https://www.amazon.in/HP-245-G7-AMD-Ryzen/dp/B08KQGQYRC/ref=sr_1_41?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-41
(Renewed) HP ProBook 430 G1 Laptop (CORE I5 4TH GEN/4GB/320GB/WEBCAM/13.3''/Windows 10 Home),,,,https://www.amazon.in/Renewed-HP-ProBook-430-G1/dp/B08XVX4QZJ/ref=sr_1_42?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-42
"HP Pavilion x360 (2021) 14"" (35.56cms) FHD Touchscreen Laptop, 11th Gen Core i7, 8 GB RAM, 512GB SSD, 2-in-1 Convertible, Windows 10, MS Office, Finger Print Reader (14-dw1040TU)",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-Convertible-14-dw1040TU/dp/B08R843NHL/ref=sr_1_43?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-43
"HP Pavilion Gaming 10th Gen Intel Core i7 Processor 15.6-inch FHD Gaming Laptop (16GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650 4GB/Shadow Black), 15-dk1151TX",,,,https://www.amazon.in/HP-Pavilion-Processor-15-6-inch-15-dk1151TX/dp/B08ZN5S446/ref=sr_1_44?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-44
"HP Envy x360 Convertible Touchscreen 13.3-inch FHD Laptop (3rd Gen Ryzen 7 4700U/16GB/512GB SSD/Win 10/MS Office/Night Fall Black/1.32kg), 13-ay0046AU",,,,https://www.amazon.in/HP-Convertible-Touchscreen-13-3-inch-13-ay0046AU/dp/B08L84H8WS/ref=sr_1_45?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-45
"HP 14 10th Gen Intel Core i5 Processor 14"" (35.56cms) FHD Laptop with Built-in 4G LTE (8GB/256GB SSD + 1TB HDD/Windows 10/MS Office 2019/Natural Silver/1.51kg) 14s-er0003TU",,,,https://www.amazon.in/HP-Processor-14-inch-Windows-14s-er0003TU/dp/B089P9JV71/ref=sr_1_46?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-46
"HP 15 Thin & Light 15.6""(39.62cms) FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 1TB HDD, Windows 10 Home, MS Office, Integrated Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3032TU",,,,https://www.amazon.in/HP-39-62cms-i5-1135G7-Integrated-15s-du3032TU/dp/B08PQPRD69/ref=sr_1_47?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-47
"HP Envy x360 Convertible Touchscreen 13.3"" (33.78 cms) FHD Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Win 10 Home/Alexa Built-in/Pale Gold/1.32kg), 13-bd0004TU",,,,https://www.amazon.in/HP-Convertible-Touchscreen-i5-1135G7-13-bd0004TU/dp/B08QSPS774/ref=sr_1_48?dchild=1&keywords=HP+Laptops&qid=1620033783&sr=8-48
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6"" (39.62cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tuMicrosoft 365 Personal-One Year Subscription Included",,,,https://www.amazon.in/HP-Processor-15s-du1052tuMicrosoft-Personal-One-Subscription/dp/B08WQFTM4W/ref=sr_1_49?dchild=1&keywords=HP+Laptops&qid=1620033789&sr=8-49
"HP Pavilion 13 11th Gen Intel Core i5 13.3"" (33.78 cms) Ultra Thin FHD Laptop (16GB/512GB SSD/Win10/MS Office/Alexa Built-in/Natural Silver/1.24 Kg), 13-bb0075TU",,,,https://www.amazon.in/HP-Pavilion-Laptop-Natural-13-bb0075TU/dp/B08V5WLM62/ref=sr_1_50?dchild=1&keywords=HP+Laptops&qid=1620033789&sr=8-50
"HP 15 db1059au  15.6"" (39.62cms) Laptop (Ryzen 3 3200U/4GB/1TB HDD/Win 10/MS Office 2019/AMD Radeon Vega 3 Graphics), Natural Silver",,,,https://www.amazon.in/HP-db1059au-15-6-inch-Graphics-Natural/dp/B085YCHVKG/ref=sr_1_51?dchild=1&keywords=HP+Laptops&qid=1620033789&sr=8-51
"HP Pavilion x360 14-inch FHD Touchscreen Convertible Laptop with 4G LTE (Intel Core i5-1135G7/8GB/512GB SSD/Win 10/MS Office 2019/Inking Pen/FPR/Natural Silver/1.61kg), 14-dw1039TU",,,,https://www.amazon.in/HP-Touchscreen-Convertible-i5-1135G7-14-dw1039TU/dp/B08SRJ4RGQ/ref=sr_1_52?dchild=1&keywords=HP+Laptops&qid=1620033789&sr=8-52
"HP Pavilion x360 Touchscreen 2-in-1 FHD Laptop 14"" (35.56cms) Laptop (10th Gen Core i5-10210U/8GB/512GB SSD/Win 10/MS Office/Mineral Silver/1.58 kg), 14-dh1179tu",,,,https://www.amazon.in/HP-Pavilion-Touchscreen-i5-10210U-14-dh1179tu/dp/B08GD9QM9B/ref=sr_1_53?dchild=1&keywords=HP+Laptops&qid=1620033789&sr=8-53
